file_name,name,type,province,year,doi
images/train/geoscan/gid_313536/cgm0391.jpg,CANADIAN GEOSCIENCE MAP 391 SURFICIAL GEOLOGY EASTERN FOSHEIM PENINSULA,SURFICIAL GEOLOGY,nu,2022,https://doi.org/10.4095/313536
images/train/geoscan/gscmap-a_1329a_e_1973_mn01/gscmap-a_1329a_e_1973_mn01.jpg,"Surficial geology, Bella Coola, British Columbia",Surficial geology,bc,1973,https://doi.org/10.4095/109064
images/train/geoscan/gid_129736/gscof_837_e_1982_lg01.jpg,"Surficial geology, Vancouver island and adjacent mainland, British Columbia, map - legend",Surficial geology,bc,1982,https://doi.org/10.4095/129736
images/train/geoscan/gid_129736/gscof_837_e_1982_mn01.jpg,"Surficial geology, Vancouver island and adjacent mainland, British Columbia, map",Surficial geology,bc,1982,https://doi.org/10.4095/129736
images/train/geoscan/gid_129894/gscof_1084_e_1984_nt01.jpg,"Surficial Geology, Kootenay Lake, British Columbia-Alberta - legend",Surficial Geology,bc,1984,https://doi.org/10.4095/129894
images/train/geoscan/gid_129894/gscof_1084_e_1984_mn01.jpg,"Surficial Geology, Kootenay Lake, British Columbia-Alberta - map",Surficial Geology,bc,1984,https://doi.org/10.4095/129894
images/train/geoscan/gscmap-a_1381a/gscmap-a_1381a_e_1974_mn01.jpg,"Surficial geology and landforms of Williston Lake area (map 1), British Columbia",Surficial geology,bc,1974,https://doi.org/10.4095/109156
images/train/geoscan/gscmap-a_1644a/gscmap-a_1644a_b_1987_mn01.jpg,"Surficial geology, Lac Kipawa, Québec-Ontario/ Géologie des formations en surface, Lac Kipawa, Québec-Ontario",Surficial geology,on,1987,https://doi.org/10.4095/122832
images/train/geoscan/gscmap-a_1863a/gscmap-a_1863a_f_1997_mn01.jpg,"Géologie des formations en surface, région du Cap de Nouvelle-France, du cratère du Nouveau-Québec et de Kangiqsujuaq, Québec-Territoires du Nord-Ouest",Surficial geology,qc,1997,https://doi.org/10.4095/208999
images/train/geoscan/gscmap-a_1862a/gscmap-a_1862a_f_1996_mn01.jpg,"Géologie des formations en surface, région de Salluit et des Lacs Nuvilik, Québec-Territoires du Nord-Ouest",Surficial geology,qc,1996,https://doi.org/10.4095/208590
images/train/geoscan/gscmap-a_2129A/gscmap-a_2129A_e_2008_mn01.jpg,"Surficial geology and sun-illuminated seafloor topography, Logan Canyon, Scotian Slope, offshore Nova Scotia",Surficial geology,ns,2008,https://doi.org/10.4095/225385
images/train/geoscan/gscmap-a_1217a/gscmap-a_1217a_e_1967_mn01.jpg,"Surficial Geology, southeastern Barren Grounds, District of Keewatin and District of Mackenzie",Surficial geology,nt,1967,https://doi.org/10.4095/108855
images/train/minfiles/093H140/PF681607/PF681607.jpg,Map - Wells - Cariboo District,map,bc,1961,https://propertyfile.gov.bc.ca/showDocument.aspx?docno=681607
images/train/minfiles/082ENE002/PF021108/PF021108.jpg,Map 97A - Franklin Mining Camp showing Platinum Blonde claim,map - claim,bc,1986,https://propertyfile.gov.bc.ca/showDocument.aspx?docid=166356
images/train/minfiles/082ENE001/PF862545/PF862545.jpg,I.P. Survey - Franklin Camp - Fig.8,map - geophysical,bc,1969,https://propertyfile.gov.bc.ca/showDocument.aspx?docid=166356
images/train/minfiles/104B193/PF804018/PF804018.jpg,Sulphurets Property - Sheet 4 of 4,map - topographical,bc,1981,https://propertyfile.gov.bc.ca/showDocument.aspx?docno=804018
